query,geneid,isoformnum,ref,%id,alignlen,mismatch,gapopens,qstart,qend,refstart,refend,evalue,seqlen
c6468_g1_i1,c6468_g1_i1,c6468_g1,1,navi_HOG7146,83.91,609,92,6,19,624,686,81,8e-165,577
c7102_g1_i1,c7102_g1_i1,c7102_g1,1,navi_HOG6285,82.11,503,76,9,310,805,1,496,8e-117,418
c7126_g1_i1,c7126_g1_i1,c7126_g1,1,navi_HOG4782,85.38,171,25,0,629,799,82,252,6e-44,178
c7126_g1_i2,c7126_g1_i2,c7126_g1,2,navi_HOG4782,85.38,171,25,0,629,799,82,252,5e-44,178
c7176_g1_i2,c7176_g1_i2,c7176_g1,2,navi_HOG6003,78.41,403,82,5,411,809,402,1,3e-68,257
c7181_g1_i1,c7181_g1_i1,c7181_g1,1,navi_HOG4251,80.73,1593,277,12,291,1880,1,1566,0.0,1214
c7202_g1_i1,c7202_g1_i1,c7202_g1,1,navi_HOG4937,77.80,410,87,4,70,477,3466,3873,2e-66,250
c7213_g1_i1,c7213_g1_i1,c7213_g1,1,navi_HOG4370,75.36,755,162,15,106,851,1,740,7e-94,342
c7234_g1_i1,c7234_g1_i1,c7234_g1,1,navi_HOG4515,78.49,1283,238,25,1451,2699,1415,137,0.0,806
c7234_g1_i1,c7234_g1_i1,c7234_g1,1,navi_HOG4515,73.66,615,124,23,686,1281,2108,1513,7e-52,204
c7249_g1_i1,c7249_g1_i1,c7249_g1,1,navi_HOG5768,83.93,1767,277,4,241,2003,1827,64,0.0,1683
c7412_g1_i1,c7412_g1_i1,c7412_g1,1,navi_HOG3872,83.64,813,132,1,555,1367,32,843,0.0,763
c7412_g1_i2,c7412_g1_i2,c7412_g1,2,navi_HOG3872,83.64,813,132,1,463,1275,32,843,0.0,763
c7424_g1_i1,c7424_g1_i1,c7424_g1,1,navi_HOG4408,85.27,638,94,0,823,1460,638,1,0.0,658
c7577_g1_i1,c7577_g1_i1,c7577_g1,1,navi_HOG3117,83.56,1630,257,9,336,1958,1,1626,0.0,1515
c7582_g1_i1,c7582_g1_i1,c7582_g1,1,navi_HOG5065,84.29,694,107,2,80,772,732,40,0.0,676
c7693_g1_i1,c7693_g1_i1,c7693_g1,1,navi_HOG4439,100.00,28,0,0,765,792,1,28,7e-07,52.8
c7864_g1_i1,c7864_g1_i1,c7864_g1,1,navi_HOG5211,77.81,1433,285,30,115,1526,1452,32,0.0,854
c8033_g1_i1,c8033_g1_i1,c8033_g1,1,navi_HOG6573,81.27,299,56,0,241,539,1,299,3e-64,243
c8033_g1_i2,c8033_g1_i2,c8033_g1,2,navi_HOG6573,81.54,390,72,0,241,630,1,390,4e-88,322
c8329_g1_i1,c8329_g1_i1,c8329_g1,1,navi_HOG5219,81.32,1654,298,10,53,1696,1,1653,0.0,1332
c8404_g1_i1,c8404_g1_i1,c8404_g1,1,navi_HOG4988,84.88,648,98,0,126,773,1,648,0.0,654
c8646_g1_i1,c8646_g1_i1,c8646_g1,1,navi_HOG3050,86.71,1189,156,2,172,1359,1245,58,0.0,1319
c8890_g1_i1,c8890_g1_i1,c8890_g1,1,navi_HOG5203,73.06,1596,398,27,701,2280,1724,145,6e-152,536
c9102_g1_i1,c9102_g1_i1,c9102_g1,1,navi_HOG4249,83.33,540,84,4,497,1033,168,704,1e-139,494
c9478_g1_i1,c9478_g1_i1,c9478_g1,1,navi_HOG4747,85.22,724,102,4,1,720,1637,915,0.0,739
c9775_g1_i1,c9775_g1_i1,c9775_g1,1,navi_HOG6385,92.91,127,9,0,324,450,1065,939,4e-47,185
c9775_g2_i1,c9775_g2_i1,c9775_g2,1,navi_HOG6385,91.81,354,29,0,1,354,606,959,4e-140,494
c9799_g1_i1,c9799_g1_i1,c9799_g1,1,navi_HOG7170,84.92,378,57,0,798,1175,378,1,4e-106,383
c9799_g1_i2,c9799_g1_i2,c9799_g1,2,navi_HOG7170,84.92,378,57,0,820,1197,378,1,4e-106,383
c9827_g1_i1,c9827_g1_i1,c9827_g1,1,navi_HOG6225,83.59,457,66,6,1,454,1203,753,2e-117,420
c9989_g1_i2,c9989_g1_i2,c9989_g1,2,navi_HOG5277,97.50,40,1,0,584,623,1345,1384,7e-12,69.4
c10424_g1_i1,c10424_g1_i1,c10424_g1,1,navi_HOG4610,77.02,2681,580,29,262,2924,25,2687,0.0,1506
c10502_g1_i1,c10502_g1_i1,c10502_g1,1,navi_HOG5133,86.97,307,39,1,719,1024,1452,1146,2e-94,344
c10719_g2_i1,c10719_g2_i1,c10719_g2,1,navi_HOG6045,85.98,328,46,0,1,328,4124,3797,2e-97,351
c11249_g1_i1,c11249_g1_i1,c11249_g1,1,navi_HOG3928,85.75,463,66,0,2,464,1892,2354,7e-139,490
c11306_g2_i1,c11306_g2_i1,c11306_g2,1,navi_HOG4473,78.34,1085,233,2,200,1283,1084,1,0.0,701
c11414_g1_i1,c11414_g1_i1,c11414_g1,1,navi_HOG4669,88.19,127,13,2,1,126,1287,1412,9e-37,150
c11759_g1_i1,c11759_g1_i1,c11759_g1,1,navi_HOG3256,82.04,1119,201,0,196,1314,1,1119,0.0,953
c11759_g1_i2,c11759_g1_i2,c11759_g1,2,navi_HOG3256,82.04,1119,201,0,491,1609,1,1119,0.0,953
c12281_g1_i1,c12281_g1_i1,c12281_g1,1,navi_HOG6053,84.03,1165,168,12,21,1179,1167,15,0.0,1105
c12281_g1_i2,c12281_g1_i2,c12281_g1,2,navi_HOG6053,82.37,1679,277,13,1,1673,1680,15,0.0,1443
c12766_g1_i1,c12766_g1_i1,c12766_g1,1,navi_HOG7207,81.31,1600,277,20,257,1845,847,2435,0.0,1279
c12793_g1_i1,c12793_g1_i1,c12793_g1,1,navi_HOG5497,78.09,1807,369,17,402,2187,1823,23,0.0,1118
c12793_g1_i2,c12793_g1_i2,c12793_g1,2,navi_HOG5497,78.09,1807,369,17,402,2187,1823,23,0.0,1118
c12837_g1_i1,c12837_g1_i1,c12837_g1,1,navi_HOG7127,80.00,895,168,6,214,1104,888,1,0.0,651
c12910_g1_i1,c12910_g1_i1,c12910_g1,1,navi_HOG4161,81.76,784,135,8,625,1404,106,885,0.0,649
c12910_g1_i2,c12910_g1_i2,c12910_g1,2,navi_HOG4161,81.76,784,135,8,924,1703,106,885,0.0,649
c13009_g1_i1,c13009_g1_i1,c13009_g1,1,navi_HOG3829,80.06,632,124,2,431,1061,659,29,1e-131,468
c13044_g1_i1,c13044_g1_i1,c13044_g1,1,navi_HOG5232,81.73,1598,278,3,189,1772,1961,364,0.0,1321
c13044_g1_i2,c13044_g1_i2,c13044_g1,2,navi_HOG5232,82.23,1598,284,0,189,1786,1961,364,0.0,1378
c13050_g1_i1,c13050_g1_i1,c13050_g1,1,navi_HOG5501,76.65,805,167,14,201,1002,1956,1170,6e-119,425
c13050_g1_i1,c13050_g1_i1,c13050_g1,1,navi_HOG5501,81.82,209,35,3,1128,1334,985,778,9e-43,172
c13050_g1_i2,c13050_g1_i2,c13050_g1,2,navi_HOG5501,76.65,805,167,14,201,1002,1956,1170,7e-119,425
c13050_g1_i2,c13050_g1_i2,c13050_g1,2,navi_HOG5501,89.61,77,7,1,1128,1203,985,909,6e-20,97.1
c13050_g1_i3,c13050_g1_i3,c13050_g1,3,navi_HOG5501,81.82,209,35,3,664,870,985,778,6e-43,172
c13052_g1_i1,c13052_g1_i1,c13052_g1,1,navi_HOG4584,78.68,333,69,2,68,399,43,374,2e-57,220
c13069_g1_i1,c13069_g1_i1,c13069_g1,1,navi_HOG6040,83.94,635,98,4,309,941,159,791,5e-173,604
c13096_g2_i1,c13096_g2_i1,c13096_g2,1,navi_HOG3340,80.14,141,25,2,1243,1380,1029,889,1e-21,102
c13104_g1_i1,c13104_g1_i1,c13104_g1,1,navi_HOG5831,87.54,586,73,0,327,912,598,13,0.0,678
c13104_g1_i2,c13104_g1_i2,c13104_g1,2,navi_HOG5831,87.54,586,73,0,327,912,598,13,0.0,678
c13112_g1_i1,c13112_g1_i1,c13112_g1,1,navi_HOG7191,87.80,1352,165,0,203,1554,1,1352,0.0,1583
c13189_g1_i1,c13189_g1_i1,c13189_g1,1,navi_HOG7070,86.02,665,90,3,276,937,83,747,0.0,710
c13189_g1_i2,c13189_g1_i2,c13189_g1,2,navi_HOG7070,84.47,747,107,7,129,866,1,747,0.0,728
c13238_g1_i1,c13238_g1_i1,c13238_g1,1,navi_HOG6405,83.19,238,38,2,241,477,538,774,5e-56,217
c13238_g1_i2,c13238_g1_i2,c13238_g1,2,navi_HOG6405,83.18,220,35,2,241,459,538,756,5e-51,200
c13238_g1_i4,c13238_g1_i4,c13238_g1,4,navi_HOG6405,83.18,220,35,2,241,459,538,756,5e-51,200
c13357_g1_i1,c13357_g1_i1,c13357_g1,1,navi_HOG3357,76.29,1742,399,10,370,2101,1742,5,0.0,917
c13357_g1_i2,c13357_g1_i2,c13357_g1,2,navi_HOG3357,76.97,1407,312,8,25,1422,1408,5,0.0,793
c13574_g1_i1,c13574_g1_i1,c13574_g1,1,navi_HOG4441,77.73,988,212,6,1231,2214,1082,99,7e-171,599
c13577_g1_i1,c13577_g1_i1,c13577_g1,1,navi_HOG3116,80.43,940,156,22,1958,2886,965,43,0.0,691
c13577_g1_i2,c13577_g1_i2,c13577_g1,2,navi_HOG3116,80.43,940,156,22,1958,2886,965,43,0.0,691
c13627_g1_i1,c13627_g1_i1,c13627_g1,1,navi_HOG2954,78.39,930,194,6,165,1089,990,63,1e-170,597
c13678_g1_i1,c13678_g1_i1,c13678_g1,1,navi_HOG5452,79.62,1158,235,1,1070,2227,767,1923,0.0,830
c13678_g1_i1,c13678_g1_i1,c13678_g1,1,navi_HOG5452,78.47,590,109,9,396,985,171,742,5e-102,370
c13711_g1_i2,c13711_g1_i2,c13711_g1,2,navi_HOG3742,77.47,2610,484,77,669,3217,2672,106,0.0,1467
c13795_g1_i1,c13795_g1_i1,c13795_g1,1,navi_HOG3412,88.06,335,40,0,27,361,317,651,3e-111,398
c13795_g2_i1,c13795_g2_i1,c13795_g2,1,navi_HOG3412,85.71,399,48,5,42,431,1062,664,1e-115,412
c13795_g3_i1,c13795_g3_i1,c13795_g3,1,navi_HOG3412,89.62,260,27,0,827,1086,1401,1142,1e-90,331
c13833_g1_i1,c13833_g1_i1,c13833_g1,1,navi_HOG3837,81.93,509,80,6,13,515,322,824,3e-117,420
c13833_g1_i2,c13833_g1_i2,c13833_g1,2,navi_HOG3837,81.93,509,80,6,13,515,322,824,3e-117,420
c13833_g1_i3,c13833_g1_i3,c13833_g1,3,navi_HOG3837,81.93,509,80,6,13,515,322,824,3e-117,420
c13896_g1_i1,c13896_g1_i1,c13896_g1,1,navi_HOG6182,80.17,837,156,7,363,1194,832,1,1e-176,617
c14012_g1_i1,c14012_g1_i1,c14012_g1,1,navi_HOG6998,81.65,534,98,0,246,779,1,534,1e-124,444
c14030_g1_i1,c14030_g1_i1,c14030_g1,1,navi_HOG6121,74.27,377,93,3,100,474,274,648,4e-38,156
c14030_g1_i2,c14030_g1_i2,c14030_g1,2,navi_HOG6121,74.27,377,93,3,183,557,274,648,4e-38,156
c14030_g1_i3,c14030_g1_i3,c14030_g1,3,navi_HOG6121,74.27,377,93,3,474,848,274,648,6e-38,156
c14091_g1_i1,c14091_g1_i1,c14091_g1,1,navi_HOG7037,85.81,465,66,0,611,1075,81,545,1e-139,494
c14091_g1_i2,c14091_g1_i2,c14091_g1,2,navi_HOG7037,85.84,466,66,0,437,902,80,545,4e-140,496
c14094_g1_i1,c14094_g1_i1,c14094_g1,1,navi_HOG4383,80.23,1214,206,19,269,1471,28,1218,0.0,881
c14181_g1_i2,c14181_g1_i2,c14181_g1,2,navi_HOG4992,84.61,1228,185,4,69,1294,1239,14,0.0,1218
c14191_g2_i1,c14191_g2_i1,c14191_g2,1,navi_HOG3311,88.59,368,34,7,273,633,602,968,1e-123,440
c14241_g1_i1,c14241_g1_i1,c14241_g1,1,navi_HOG6021,81.72,793,139,6,8,795,694,1485,0.0,656
c14241_g1_i1,c14241_g1_i1,c14241_g1,1,navi_HOG6021,96.71,304,9,1,1199,1502,1688,1990,1e-142,505
c14241_g1_i2,c14241_g1_i2,c14241_g1,2,navi_HOG6021,80.20,793,133,14,8,777,694,1485,4e-163,573
c14241_g1_i2,c14241_g1_i2,c14241_g1,2,navi_HOG6021,96.99,299,9,0,1117,1415,1692,1990,5e-142,503
c14241_g1_i3,c14241_g1_i3,c14241_g1,3,navi_HOG6021,81.72,793,139,6,8,795,694,1485,0.0,656
c14241_g1_i3,c14241_g1_i3,c14241_g1,3,navi_HOG6021,96.99,299,9,0,1135,1433,1692,1990,5e-142,503
c14244_g2_i1,c14244_g2_i1,c14244_g2,1,navi_HOG4295,83.89,602,91,5,193,788,1859,1258,3e-162,569
c14244_g2_i1,c14244_g2_i1,c14244_g2,1,navi_HOG4295,82.47,388,66,2,789,1175,1227,841,8e-93,339
c14244_g2_i2,c14244_g2_i2,c14244_g2,2,navi_HOG4295,83.55,231,36,2,233,462,1070,841,7e-56,215
c14246_g1_i1,c14246_g1_i1,c14246_g1,1,navi_HOG4877,80.28,847,157,9,710,1551,62,903,2e-180,630
c14246_g1_i2,c14246_g1_i2,c14246_g1,2,navi_HOG4877,80.00,660,122,9,710,1364,62,716,7e-135,479
c14253_g1_i1,c14253_g1_i1,c14253_g1,1,navi_HOG6237,82.65,582,101,0,880,1461,1,582,6e-146,516
c14257_g1_i1,c14257_g1_i1,c14257_g1,1,navi_HOG4035,82.48,451,68,8,756,1202,704,1147,1e-106,385
c14257_g1_i2,c14257_g1_i2,c14257_g1,2,navi_HOG4035,82.48,451,68,8,813,1259,704,1147,1e-106,385
c14258_g1_i1,c14258_g1_i1,c14258_g1,1,navi_HOG6308,82.14,1366,244,0,159,1524,1366,1,0.0,1171
c14461_g1_i1,c14461_g1_i1,c14461_g1,1,navi_HOG6407,81.90,945,171,0,99,1043,2295,1351,0.0,798
c14461_g1_i2,c14461_g1_i2,c14461_g1,2,navi_HOG6407,81.90,945,171,0,99,1043,2295,1351,0.0,798
c14490_g1_i1,c14490_g1_i1,c14490_g1,1,navi_HOG4930,76.02,1576,355,19,187,1749,1572,7,0.0,795
c14524_g1_i1,c14524_g1_i1,c14524_g1,1,navi_HOG5082,76.95,1102,241,12,169,1263,28,1123,3e-176,616
c14536_g1_i1,c14536_g1_i1,c14536_g1,1,navi_HOG2933,79.73,656,118,8,144,784,226,881,2e-129,460
c14549_g2_i1,c14549_g2_i1,c14549_g2,1,navi_HOG6314,80.73,1998,359,18,103,2081,661,2651,0.0,1533
c14580_g1_i1,c14580_g1_i1,c14580_g1,1,navi_HOG3122,79.78,717,129,8,235,949,44,746,2e-143,507
c14580_g1_i2,c14580_g1_i2,c14580_g1,2,navi_HOG3122,79.35,1317,252,10,235,1547,44,1344,0.0,907
c14589_g1_i1,c14589_g1_i1,c14589_g1,1,navi_HOG5988,80.55,2308,427,14,1276,3566,2303,1,0.0,1755
c14594_g1_i1,c14594_g1_i1,c14594_g1,1,navi_HOG6126,83.65,1902,301,7,1077,2976,573,2466,0.0,1781
c14594_g1_i2,c14594_g1_i2,c14594_g1,2,navi_HOG6126,83.34,1903,294,15,1077,2965,573,2466,0.0,1736
c14634_g1_i1,c14634_g1_i1,c14634_g1,1,navi_HOG4928,81.78,225,39,2,681,904,1234,1011,2e-47,187
c14634_g1_i2,c14634_g1_i2,c14634_g1,2,navi_HOG4928,79.46,443,85,5,681,1120,1234,795,1e-83,309
c14654_g1_i1,c14654_g1_i1,c14654_g1,1,navi_HOG4830,90.18,876,86,0,295,1170,1,876,0.0,1142
c14867_g2_i1,c14867_g2_i1,c14867_g2,1,navi_HOG2886,82.16,370,54,9,125,488,576,213,1e-83,307
c14884_g1_i1,c14884_g1_i1,c14884_g1,1,navi_HOG3798,83.08,969,162,2,67,1034,1,968,0.0,880
c14884_g1_i2,c14884_g1_i2,c14884_g1,2,navi_HOG3798,83.18,535,87,3,123,655,435,968,2e-137,486
c14918_g1_i1,c14918_g1_i1,c14918_g1,1,navi_HOG3304,90.91,66,6,0,2024,2089,74,9,2e-17,89.8
c14918_g1_i2,c14918_g1_i2,c14918_g1,2,navi_HOG3304,90.91,66,6,0,1419,1484,74,9,1e-17,89.8
c15023_g1_i1,c15023_g1_i1,c15023_g1,1,navi_HOG4263,77.30,991,209,15,360,1342,1113,131,3e-162,569
c15039_g1_i1,c15039_g1_i1,c15039_g1,1,navi_HOG6501,81.08,1422,263,5,345,1763,1,1419,0.0,1131
c15046_g1_i1,c15046_g1_i1,c15046_g1,1,navi_HOG2957,83.52,710,113,3,279,986,708,1,0.0,660
c15053_g1_i1,c15053_g1_i1,c15053_g1,1,navi_HOG3671,76.97,925,207,6,639,1560,9,930,4e-148,523
c15061_g1_i1,c15061_g1_i1,c15061_g1,1,navi_HOG3430,82.05,1081,182,10,1248,2324,1157,85,0.0,911
c15069_g1_i1,c15069_g1_i1,c15069_g1,1,navi_HOG5248,83.56,882,137,3,159,1040,874,1,0.0,819
c15070_g1_i1,c15070_g1_i1,c15070_g1,1,navi_HOG3860,82.09,363,65,0,411,773,966,604,2e-84,311
c15082_g1_i1,c15082_g1_i1,c15082_g1,1,navi_HOG3018,77.52,912,180,16,811,1709,563,1462,8e-149,525
c15082_g1_i2,c15082_g1_i2,c15082_g1,2,navi_HOG3018,77.52,912,180,16,573,1471,563,1462,7e-149,525
c15094_g1_i2,c15094_g1_i2,c15094_g1,2,navi_HOG2859,84.91,1054,143,12,374,1419,55,1100,0.0,1051
c15123_g1_i2,c15123_g1_i2,c15123_g1,2,navi_HOG6274,80.42,1532,294,6,531,2059,700,2228,0.0,1162
c15123_g1_i3,c15123_g1_i3,c15123_g1,3,navi_HOG6274,81.21,2001,370,6,1,1998,231,2228,0.0,1607
c15131_g1_i1,c15131_g1_i1,c15131_g1,1,navi_HOG4667,77.94,136,24,4,637,769,969,837,5e-15,80.5
c15134_g2_i1,c15134_g2_i1,c15134_g2,1,navi_HOG6591,90.08,1008,97,2,795,1799,1,1008,0.0,1304
c15134_g2_i2,c15134_g2_i2,c15134_g2,2,navi_HOG6591,90.08,1008,97,2,795,1799,1,1008,0.0,1304
c15136_g1_i1,c15136_g1_i1,c15136_g1,1,navi_HOG4369,82.08,1328,223,14,253,1571,50,1371,0.0,1120
c15136_g1_i2,c15136_g1_i2,c15136_g1,2,navi_HOG4369,81.92,1377,234,14,101,1468,1,1371,0.0,1149
c15243_g1_i1,c15243_g1_i1,c15243_g1,1,navi_HOG2930,78.54,974,203,6,455,1425,6,976,0.0,636
c15272_g1_i2,c15272_g1_i2,c15272_g1,2,navi_HOG3970,86.21,319,44,0,54,372,167,485,5e-95,346
c15280_g1_i1,c15280_g1_i1,c15280_g1,1,navi_HOG4099,83.20,2220,358,12,137,2347,1,2214,0.0,2036
c15351_g1_i1,c15351_g1_i1,c15351_g1,1,navi_HOG3478,84.41,622,97,0,591,1212,654,33,5e-175,612
